,名词,动词
1625,刷子,0
1626,猪排,0
1630,水瓶,0
1631,堂倌,0
1639,酒菜,0
1644,主公,0
1649,公子,0
1656,生母,0
1660,纪念册,0
1661,胸花,0
1664,凶手,0
1672,鲜花,0
1674,文子,0
1677,盐,0
1680,歌词,0
1683,婴儿,0
1690,口红,0
1700,兽医,0
1701,火升,0
1704,道子,0
1705,花子,0
1708,鸽子,0
1712,花束,0
1722,骨灰,0
1730,主人,0
1740,诗集,0
1742,鞋拔子,0
1744,作品,0
1756,艺术家,0
1757,厨娘,0
1758,积蓄,0
1759,女孩子,0
1761,胆结石,0
1762,纸牌,0
1763,皮革,0
1765,裁缝,0
1769,财物,0
1772,项链,0
1776,血,0
1777,帘子,0
1780,病人,0
1782,铁锹,0
1783,粥,0
1784,内衣,0
1787,牛奶,0
1788,发夹,0
1790,领子,0
1793,湿,0
1794,分子式,0
1797,法警,0
1800,泄殖腔,0
1803,木牌,0
1807,货车,0
1809,袋子,0
1811,全家,0
1813,饭盒,0
1817,假,0
1825,外套,0
1826,外,0
1827,钉子,0
1828,猪仔,0
1830,诗,0
1832,队伍,0
1836,衣领,0
1837,船翻,0
1840,鲟鱼,0
1841,垫子,0
1843,公事包,0
1855,干酪,0
1859,石块,0
1874,木片,0
1877,猎枪,0
1881,酒瓶,0
1882,灯笼,0
1883,号角,0
1890,钟表,0
1891,信息,0
1892,松鼠,0
1897,下巴,0
1898,油水,0
1901,奶牛,0
1911,主教,0
1914,亚麻,0
1915,碎片,0
1916,房东,0
1925,骰子,0
1929,门窗,0
1930,小孩儿,0
1931,钟,0
1935,餐巾,0
1941,礼帽,0
1942,路,0
1943,指挥刀,0
1946,货物,0
1949,脚放,0
1950,缆绳,0
1953,鱼钩,0
1955,粪球,0
1958,动物,0
1960,驴子,0
1961,门闩,0
1964,疯子,0
1974,心思,0
1981,靠椅,0
1984,奖杯,0
1986,夹子,0
1987,圣旨,0
1990,神父,0
1991,笔放,0
1992,火腿,0
1993,鼻子,0
1994,猎狗,0
1995,光,0
1997,帐篷,0
1998,囚犯,0
2003,人家,0
2004,雕刻刀,0
2005,土运,0
2006,小村,0
2010,名牌,0
2018,记忆,0
2020,板车,0
2022,烟灰缸,0
2023,手册,0
2024,车站,0
2025,纪律,0
2026,车头,0
2028,血洗,0
2031,帽檐,0
2033,遗体,0
2035,车领,0
2036,碟子,0
2038,律师,0
2039,饮料,0
2040,小人,0
2042,浅色,0
2050,粪车,0
2057,好人,0
2059,腰刀,0
2063,骗子,0
2065,政治家,0
2066,居民,0
2068,罚金,0
2071,青蛙,0
2075,卦,0
2077,电视机,0
2091,光明,0
2095,皮夹,0
2099,皮靴,0
2102,妈咪,0
2107,哲学,0
2108,世界,0
2111,请帖,0
2114,侍者,0
2118,小艇,0
2123,咖啡杯,0
2132,彩票,0
2134,蜗牛,0
2135,头盔,0
2136,肢体,0
2138,羊群,0
2140,话茬儿,0
2151,啤酒,0
2153,观众,0
2160,通行证,0
2164,营长,0
2165,冰块,0
2170,树皮,0
2175,驾驶员,0
2179,肩膀,0
2180,理发师,0
2188,灯端,0
2194,棋盘,0
2198,皮带,0
2200,香烟,0
2201,原稿,0
2205,患者,0
2206,床单,0
2213,头饰,0
2214,盾牌,0
2215,垃圾,0
2218,贻贝,0
2221,家人,0
2222,桌椅板凳,0
2223,胎盘,0
2225,材料,0
2226,车钱,0
2227,鞭子,0
2232,大尉,0
2234,救火车,0
2241,金币,0
2243,债务人,0
2245,钢盔,0
2247,椅垫,0
2248,书页,0
2255,勇气,0
2265,干事,0
2272,睡帽,0
2274,房顶,0
2279,项圈,0
2281,公证人,0
2282,罪愆,0
2297,邮票,0
2305,死者,0
2306,军功章,0
2310,棍子,0
2313,袜子拿,0
2315,枪口,0
2317,纱交,0
2323,表针,0
2328,裤带,0
2333,班,0
2342,纸片,0
2343,图片,0
2347,机会,0
2348,布告,0
2349,鸟儿,0
2351,粮草,0
2353,十字架,0
2357,妹妹,0
2365,外币,0
2370,浴衣,0
2376,缝纫机,0
2380,火车头,0
2382,连队,0
2387,步枪,0
2388,权杖,0
2390,会议,0
2394,档案,0
2402,炸弹,0
2404,奶奶,0
2409,针,0
2410,空气,0
2417,餐具,0
2422,修正案,0
2423,叉子,0
2432,图书室,0
2434,丑事,0
2437,海军,0
2438,别针,0
2441,护壁板,0
2442,瓦匠,0
2445,遗嘱,0
2447,小船,0
2458,烟盒,0
