,名词,动词,处所词
852,0,搂抱,0
854,0,0,0
855,0,撵,0
857,手指头,0,0
858,柴刀,0,0
860,窝筑,0,0
861,光斑,0,0
863,侍女,0,0
867,眼睛,撞倒,0
868,情夫,0,0
869,木炭,0,0
870,纸张,0,0
872,照相机,0,0
873,风琴,0,0
875,0,盯,0
877,0,笑,0
883,猎犬,锁,0
887,金币,0,0
888,柜台,0,0
896,原因,0,0
898,凶器,0,0
901,0,捧,0
902,猩猩,0,0
905,账本,停顿,0
906,旅客,0,0
907,情况,0,0
908,小费,0,0
911,妇女,0,0
912,0,0,0
914,支票,0,0
915,0,摊开,0
924,0,挪,0
927,0,扭,0
